FID,HUB,PID,ID,TITLE,MORK1,MORK2,MORK3,MORK4,MORK5,MORK6,WEBLINK,SHAPE_AREA,SHAPE_LEN,Shape__Area,Shape__Length
1,TSR,P2,TSR_2_1,Emergency care identifying and prioritising action to save fauna species at acute risk of extinction,prioritisation,extinction,imperilled species,Top twenty threatened species,butterflies,vertebrates,https://www.nespthreatenedspecies.edu.au/projects/emergency-care-identifying-and-prioritising-action-to-save-fauna-species-at-acute-risk-of-extinction,694.327232742,251.539402803,9633604352918.08,29770943.7479066
2,TSR,P2,TSR_2_2,Tackling threats to endangered hollow-nesting birds,sugar glider,nest box,orange-bellied parrot,swift parrot,invasive species,forty-spotted pardalote,https://www.nespthreatenedspecies.edu.au/projects/tackling-threats-to-endangered-hollow-nesting-birds,7.07105893821,19.7338030249,117944054460.391,2583583.75655786
3,TSR,P2,TSR_2_3_1,Island-wide spatial conservation planning for Christmas Island,island conservation,spatial planning analysis,distribution model,policy,modelling, ,https://www.nespthreatenedspecies.edu.au/projects/island-wide-spatial-conservation-planning-for-christmas-island,0.0112426045955,0.689028029428,141684623.882813,77360.6657777651
4,TSR,P2,TSR_2_3_2,Options beyond captivity for two critically endangered Christmas Island reptiles,island conservation,captive breeding,extinction,Cocos (Keeling) Islands,blue-tailed skink,Lister's gecko,https://www.nespthreatenedspecies.edu.au/projects/options-beyond-captivity-for-two-critically-endangered-christmas-island-reptiles,0.0112426045955,0.689028029428,141684623.882813,77360.6657777651
5,TSR,P2,TSR_2_3_3,Optimising the benefts of feral cat contol on Christmas Island,island conservation,feral cat,rat,meso-predator,eradication,bird,https://www.nespthreatenedspecies.edu.au/projects/optimising-the-benefits-of-feral-cat-control-on-christmas-island,0.0112426045955,0.689028029428,141684623.882813,77360.6657777651
6,TSR,P2,TSR_2_3_4,Conservation of Christmas Island flying-foxes,island conservation,flying fox,structured decision making,managing threats,decision support tool,expert elicitation,https://www.nespthreatenedspecies.edu.au/projects/conservation-of-the-christmas-island-flying-fox,0.0112426045955,0.689028029428,141684623.882813,77360.6657777651
7,TSR,P2,TSR_2_3_5,Combatting an emerging disease threatening endangered Christmas Island reptiles,island conservation,enterococcus,Lister's gecko,blue-tailed skink,disease,captive breeding,https://www.nespthreatenedspecies.edu.au/projects/combatting-an-emerging-disease-threatening-endangered-christmas-island-reptiles,0.0112426045955,0.689028029428,141684623.882813,77360.6657777651
8,TSR,P1,TSR_1_1_1,Responses of threatened species to cats and fire management in Kakadu and northern savannas,feral cat,fire management,predator exclosure,dingo,savanna,mammals,https://www.nespthreatenedspecies.edu.au/projects/responses-of-threatened-species-to-cats-and-fire-management-in-kakadu-and-northern-savannas,49.1992937236,31.5489553648,629663669349.824,3553770.95696437
9,TSR,P1,TSR_1_1_4,The role of feral predators in disrupting small vertebrate communities in arid South Australia,community ecology,mammals,predation,refuge,predator control,kowari,https://www.nespthreatenedspecies.edu.au/projects/the-role-of-feral-predators-in-disrupting-small-vertebrate-communities-in-arid-south-australia,7.24371755754,10.7842686668,100871503819.039,1269259.70223698
10,TSR,P1,TSR_1_4_3,Understanding and combating Myrtle Rust,disease,myrtle rust,Myrtaceae,rainforest,database,extinction,https://www.nespthreatenedspecies.edu.au/projects/understanding-and-combatting-myrtle-rust,37.0976800945,61.9576582811,505550068783.434,7374041.41662505
11,TSR,P3,TSR_3_2_4,Ecosystem Accounts for the Victorian Central Highlands,monitoring,environmental accounting,carbon,hollow-bearing trees,water management,leadbeater's possum,https://www.nespthreatenedspecies.edu.au/projects/ecosystem-accounts-in-the-victorian-central-highlands,1.40677090161,7.08230101473,21976140147.0391,874139.74600667
12,TSR,P3,TSR_3_2_5,Arid Zone Monitoring: surveys for vertebrates across arid and semi-arid zones,monitoring,arid zone,Indigenous rangers,distribution model,indigenous knowledge,database,https://www.nespthreatenedspecies.edu.au/projects/arid-zone-monitoring-surveys-for-vertebrates-across-arid-and-semi-arid-zones,219.483005148,77.7911520238,3002889206209.34,8987248.13375643
13,TSR,P3,TSR_3_2_6,Evidence-based management protocols for recovery of multiple threatened woodland birds,woodland birds,decision support tool,monitoring,conservation actions,adaptive management,noisy miner,https://www.nespthreatenedspecies.edu.au/projects/evidence-based-management-protocols-for-recovery-of-multiple-threatened-woodland-birds,32.4110996332,33.5086485794,479713123404.637,4132223.47325543
